"","DATE_TIME","Sum_AC","DATE"
"380","2020-05-19 01:30:00",0,2020-05-19
"381","2020-05-19 01:45:00",0,2020-05-19
"382","2020-05-19 02:00:00",0,2020-05-19
"383","2020-05-19 02:15:00",0,2020-05-19
"384","2020-05-19 02:30:00",0,2020-05-19
"385","2020-05-19 02:45:00",0,2020-05-19
"386","2020-05-19 03:00:00",0,2020-05-19
"387","2020-05-19 03:15:00",0,2020-05-19
"388","2020-05-19 03:30:00",0,2020-05-19
"389","2020-05-19 03:45:00",0,2020-05-19
"390","2020-05-19 04:00:00",0,2020-05-19
"391","2020-05-19 04:15:00",0,2020-05-19
"392","2020-05-19 04:30:00",0,2020-05-19
"393","2020-05-19 04:45:00",0,2020-05-19
"394","2020-05-19 05:00:00",0,2020-05-19
"395","2020-05-19 05:15:00",0,2020-05-19
"396","2020-05-19 05:30:00",0,2020-05-19
"397","2020-05-19 05:45:00",0,2020-05-19
"398","2020-05-19 06:00:00",0,2020-05-19
"399","2020-05-19 06:15:00",204.053571435,2020-05-19
"400","2020-05-19 06:30:00",370.38928573,2020-05-19
"401","2020-05-19 06:45:00",1549.08214286,2020-05-19
"402","2020-05-19 07:00:00",5310.1964286,2020-05-19
"403","2020-05-19 07:15:00",5708.1910715,2020-05-19
"404","2020-05-19 07:30:00",5746.0714287,2020-05-19
"405","2020-05-19 07:45:00",7064.1178571,2020-05-19
"406","2020-05-19 08:00:00",3992.2071428,2020-05-19
"407","2020-05-19 08:15:00",5829.2017858,2020-05-19
"408","2020-05-19 08:30:00",9133.0910714,2020-05-19
"409","2020-05-19 08:45:00",8597.3196429,2020-05-19
"410","2020-05-19 09:00:00",12015.6892857,2020-05-19
"411","2020-05-19 09:15:00",13291.0714284,2020-05-19
"412","2020-05-19 09:30:00",17974.8910714,2020-05-19
"413","2020-05-19 09:45:00",15068.7267858,2020-05-19
"414","2020-05-19 10:00:00",13941.1571428,2020-05-19
"415","2020-05-19 10:15:00",16859.5285713,2020-05-19
"416","2020-05-19 10:30:00",15028.3714286,2020-05-19
"417","2020-05-19 10:45:00",17947.2732144,2020-05-19
"418","2020-05-19 11:00:00",22248.7232138,2020-05-19
"419","2020-05-19 11:15:00",15549.0285715,2020-05-19
"420","2020-05-19 11:30:00",8755.2333332,2020-05-19
"421","2020-05-19 12:30:00",21206.9666666,2020-05-19
"422","2020-05-19 12:45:00",24603.55,2020-05-19
"423","2020-05-19 13:00:00",21094.757143,2020-05-19
"424","2020-05-19 13:15:00",16601.5,2020-05-19
"425","2020-05-19 13:30:00",16405.4285715,2020-05-19
"426","2020-05-19 13:45:00",21658.1375,2020-05-19
"427","2020-05-19 14:00:00",19443.3142856,2020-05-19
"428","2020-05-19 14:15:00",20507.975,2020-05-19
"429","2020-05-19 14:30:00",21840.5857136,2020-05-19
"430","2020-05-19 14:45:00",20814.4464286,2020-05-19
"431","2020-05-19 15:00:00",15879.0696429,2020-05-19
"432","2020-05-19 15:15:00",13037.4642857,2020-05-19
"433","2020-05-19 15:30:00",14049.475,2020-05-19
"434","2020-05-19 15:45:00",11728.3875,2020-05-19
"435","2020-05-19 16:00:00",14013.2428571,2020-05-19
"436","2020-05-19 16:15:00",11412.9875,2020-05-19
"437","2020-05-19 16:30:00",8135.7125,2020-05-19
"438","2020-05-19 16:45:00",6581.6857144,2020-05-19
"439","2020-05-19 17:00:00",4713.3875,2020-05-19
"440","2020-05-19 17:15:00",3214.2571428,2020-05-19
"441","2020-05-19 17:30:00",2189.35,2020-05-19
"442","2020-05-19 17:45:00",933.45714289,2020-05-19
"443","2020-05-19 18:00:00",1.7375,2020-05-19
"444","2020-05-19 18:15:00",0,2020-05-19
"445","2020-05-19 18:30:00",0,2020-05-19
"446","2020-05-19 18:45:00",0,2020-05-19
"447","2020-05-19 19:00:00",0,2020-05-19
"448","2020-05-19 19:15:00",0,2020-05-19
"449","2020-05-19 19:30:00",0,2020-05-19
"450","2020-05-19 19:45:00",0,2020-05-19
"451","2020-05-19 20:00:00",0,2020-05-19
"452","2020-05-19 20:15:00",0,2020-05-19
"453","2020-05-19 20:30:00",0,2020-05-19
"454","2020-05-19 20:45:00",0,2020-05-19
"455","2020-05-19 21:00:00",0,2020-05-19
"456","2020-05-19 21:15:00",0,2020-05-19
"457","2020-05-19 21:30:00",0,2020-05-19
"458","2020-05-19 21:45:00",0,2020-05-19
"459","2020-05-19 22:00:00",0,2020-05-19
"460","2020-05-19 22:15:00",0,2020-05-19
"461","2020-05-19 22:30:00",0,2020-05-19
"462","2020-05-19 22:45:00",0,2020-05-19
"463","2020-05-19 23:00:00",0,2020-05-19
"464","2020-05-19 23:15:00",0,2020-05-19
"465","2020-05-19 23:30:00",0,2020-05-19
"466","2020-05-19 23:45:00",0,2020-05-19
"467","2020-05-20 00:00:00",0,2020-05-20
"468","2020-05-20 00:15:00",0,2020-05-20
"469","2020-05-20 00:30:00",0,2020-05-20
"470","2020-05-20 00:45:00",0,2020-05-20
"471","2020-05-20 01:00:00",0,2020-05-20
"472","2020-05-20 01:15:00",0,2020-05-20
"473","2020-05-20 01:30:00",0,2020-05-20
"474","2020-05-20 01:45:00",0,2020-05-20
"475","2020-05-20 02:00:00",0,2020-05-20
"476","2020-05-20 02:15:00",0,2020-05-20
"477","2020-05-20 02:30:00",0,2020-05-20
"478","2020-05-20 02:45:00",0,2020-05-20
"479","2020-05-20 03:00:00",0,2020-05-20
"480","2020-05-20 03:15:00",0,2020-05-20
"481","2020-05-20 03:30:00",0,2020-05-20
"482","2020-05-20 03:45:00",0,2020-05-20
"483","2020-05-20 04:00:00",0,2020-05-20
"484","2020-05-20 04:15:00",0,2020-05-20
"485","2020-05-20 04:30:00",0,2020-05-20
"486","2020-05-20 04:45:00",0,2020-05-20
"487","2020-05-20 05:00:00",0,2020-05-20
"488","2020-05-20 05:15:00",0,2020-05-20
"489","2020-05-20 05:30:00",0,2020-05-20
"490","2020-05-20 05:45:00",0,2020-05-20
"491","2020-05-20 06:00:00",214.928571426,2020-05-20
"492","2020-05-20 06:15:00",917.8625,2020-05-20
"493","2020-05-20 06:30:00",1510.38571428,2020-05-20
"494","2020-05-20 06:45:00",2065.5535715,2020-05-20
"495","2020-05-20 07:00:00",3492.794643,2020-05-20
"496","2020-05-20 07:15:00",5417.4321428,2020-05-20
"497","2020-05-20 07:30:00",7418.5857142,2020-05-20
"498","2020-05-20 07:45:00",9282.3232144,2020-05-20
"499","2020-05-20 08:00:00",11258.394643,2020-05-20
"500","2020-05-20 08:15:00",12735.1410714,2020-05-20
"501","2020-05-20 08:30:00",14616.1517858,2020-05-20
"502","2020-05-20 08:45:00",15052.2303573,2020-05-20
"503","2020-05-20 09:00:00",16942.8535714,2020-05-20
"504","2020-05-20 09:15:00",18104.4196428,2020-05-20
"505","2020-05-20 09:30:00",18776.1357143,2020-05-20
"506","2020-05-20 09:45:00",20560.1803573,2020-05-20
